no,Tweet
271,"Hi  Awesome finance learning from your channel. I have little money saved and hail from a lower middle class family. I want to make smart investments other than traditional FDs (where actually I    'm in loss as FD rates not even match inflation). How to select where else... and how could I invest smartly with lesser risk as I    've very little margin I can play with. If I want to select mutual funds then how should I find which MF is best for me and how to invest Whether I should go with gold bonds or buying physical gold, which option should I go for and how If I want to go with Debt bonds then need a way. Kindly guide me if possible as per how should I go ahead and not get confused. Will always be indebted for the knowledge you share. Thanks a lot...."
272,do you make interest on cash in wallet E-Rupi is same except in digital form where you no longer need to carry wads of notes in pocket...nothing less nothing more.
274,"Absolutely wrong interpretation of digital Rupi by Akshat. You are s I'mply misguiding people against an excellent format of currency, Akshat. This digital currency will largely min I'mize the leakage of DBT money. Lot other benefits are also there."
275,"The biggest problem in India is tracking government money allocated to needed people that will be solved, don    't expect one  I'mplementation can solve everything in india"
276,The major reason is central government is subsidizing upi transaction due to multiple merchants involved as amount of upi transactions are increasing leaps and bounds it will cost lot more. There might be possiblity that in future upi transactions are charged as well like  I'mps so CBDC could be an alternative to that plus adoption of blockchain technology which is transparent and much safe as well could be promoted.
277,Great Analysis....
278,great video as usual
279,UPI was not developed and institutionalised by raghuram rajan...    It was Nandan nilenkani team that developed india stack...
280,"I see this being used to provide Govt subsidies directly to people and reduce misuse of these money. Example, I have seen farmers take agri loans and buy cars and other luxury items. If the smart contracts are brought into action, govt  banks will put the erupi into bank account and the farmer can only use it for fertilizers, seeds  plantations, rentals for agri based vehicles and services and so on. This way we are plugging the leaks in a more polite manner. If govt takes action, then majority of the people will start protesting - hence this step. I could be wrong, but its only another way of understanding."
281,no words i am just 200% agreed
282,"S I'mply awesome  sir, the topic is indeed complex but you made it too lucid for any amateur... thanks "
283,It    's not bank fd and sb for earning interest
284,e-rupi is purpose specific there is no cash involvement anywhere whereas in DBT beneficiary gets direct money which gives discretionary power to use this money for any purpose even purchasing gutka too... a  c to me e-rupi is just one step ahead in initiating welfare to the people efficiently.
285,"The best use for cbdc with a centralized ledger is to make sure we have a transparent system between loans being given to states from the center and it    's utilization by states and vice versa for revenues being collected from states as part of cgst and sgst. If cbdc centralized ledger can utilise this through blockchain  it gives the citizens a lot of insight . But in relation to the video, the options where this is being utilized make no sense "
286,CBDC is a Digital prison for the whole world. The sooner people recognise this the better it is. CBDC is the best tool for any dictatorial authoritarian rule. CBDC can be used to shut any individual or a group permanently just by switching them off digitally. Any one having different political opinion other than the government in control can be isolated permanently from the illusory digital financial services. You s I'mply don    't exist. Dangerous trend.
287,Vo you know something As a complete layman I wondered ( and wonder now) what benfit to the concumer or the government the e-rupi( CBDC) would bring. I am relieved that you think that there would be no benefit at all. So I    'm going to eatch this space.
288,Awesome
289,Thanks a lot
290,"Wonderfully explained  Thank you for clarifying, i was also confused."
291,"are you a puppet of  I'mF, WORLD BANK   amp INDIAN GOVT. which explain this matter not with a cons only with pros why"
292,In short CBDC is a merchant account with the RBI instead of having an account with commercial bank. And this might be backed by a block chain infrastructure.
293,A great explanation akshat ur eloquancy and knowledge are truly outstanding
294,"It felt strange that you went so soft on e-Rupi. Government can invalidate your e-Rupi after certain period of time if you do not spend the money in order to keep economy in good shape. Government can prevent you from spending your own money on some of the things if they want to. With e-Rupi government can directly debit the money from your account with out your permission if you participate in dharnas, protests etc. Basically Government can enforce everything it wants, crushing individual freedom, choice. We all know what happens to such societies."
295,jam yojana will be introduced because currently government is giving money to farmers and poor people. but government cant control how people will spend this money. so they will create voucher. which will people avail only on specific shops. for example if you are giving 5000₹ worth of voucher to farmer he can avail in fertiliser shops or equipment shops only. that way money will not be wasted for other purposes.
296,Sir it may not succeed because politicians Nd businesses man cannot hide black money . This is my thought.
297,"Its e-rupee n not e-rupi,  Misleading content"
298,see think school video
299,I totally did not get the point where the China    's people surveillance system is compared with the CBDT
300,"Main purpose of CBDC is to create an Internationally tradable currency without using any of the current payment networks like Swift, which are controlled by West. In an eventual case of sanctions as in case of Russia where Swift payments were blocked disrupting trade this would help.     So in case CBDC is successful we would have a mechanism in place to trade globally without much disruption.    Second reason is INR is highly dependent on USD and hence is volatile. If trade happens in INR,  I'mporters   amp exporters need not worry of Currency risk. Making INR more stable, creating lot value for business in the long run."
301,"The Govt. officials like corporators and MLAs are doing some scams in a different way that they are wasting lots of money to build unnecessary gates, banners and statues, etc. and also doing district, taluka, railway station etc re-naming process..  This money is our Taxes so way they are doing it and wasting so much money.  Whether its really needed to do this.     Even when they took their meetings they are just enjoying their lunch, dinner, etc. This also our Tax money .. why  We giving the power to them all this shit "
302,This is being done to end the role of comml banks because now there will be no need to open bank accounts . And gen public is going to be hit hard because than only few 2  3 banks will remain and wont give even 6 % int like present. Public will have to invest in capital fds  thereby benefitting cspitalists .
303,"Saraa english ek side pe, aur dusre side pe  Real india kisiko abhi samajh mai nahi aaya hai.  In the coming cash usage aggravate the economic growth.   The gvts think  citizens are fools."
304,you should host a debate with two sides - pros and cons - of CDBC. Will be interesting to see you and Think School    's Ganesh Prasad
305,This system of govt control can and sure one day bring india into bankruptcy. Very dangerous trend and system of governence.
306,Soon other banks will close because they will have no work hence banks will close and RBI will take complete control.. Then there will be no physical currency in circulation rupee will die and only digital rupee of RBI will function. This will be another disaster like demonetzation of indian rupee complete. God save india from disaster. Very bad future.poor man will be at hardship to survive.
307,looks like you are reacting too early like small children and popcorn youtubers. reference to rajan and uguhrs shows your where you are heading. please restrain from one sided views .
308,i think there are fallacy in your argument. RBI is not getting into credit. it has been issuing notes in physical form  not is issuing in digital currency  the currency in circulation even today is decided by RBI  Finance ministry  there is not transparent formula that is being used or public by neither rbi nor finance ministry. in fact RBI has started SGL-for bonds and now citizen open the account directly. this is to save the cost for the GOI as they had to pay money to the intermediaries being bank.
309,"Will RBI Do the mining to issue Digital rupee like z,Bitcoin etc "
310,"Very nicely explained. Yes, private banks will be starved of money for loan purpose. Maybe govt wants to monitor pvt banks that extend loans."
311,I am against digital money because I respect Ghandhi ji plz don    't change money modi is against great freedom fighter so he decided
312,Father of nation ko sab bol Jaye gai
313,Digital money sai
314,Hello sir I am a beginner and want to start my SIP in MF with 10k per month for 15 to 20 yeras. Can you suggest how many MF    's should be there in my portfolio and what are they please
315,Clearly left leaning commentator. however if politics in video are kept aside information is there to be absorbed. will suggest akshat not to show bias during content creation
316,Nice information thank you so much sir explain very easy and s I'mple language English I understand.  My English is very week but I understanding
317,Jo chacha hai wo hi Bhatia hai aur jo Bhatia hai wo hi chacha hai
318,Is it not due to crypto currencies popularity that government is also launching its own official crypto currency what about tamper proof and auditing capabilities Aren    't they advantages of digital currency
319,great job bro for making such we’ll explained video
320,One of the main advantages of this new distributed ledger is it will not leave any scope for physical intentional tampering of the subledgers held by the banks which eventually leads to an incomplete main ledger visible to the RBI.
321,the centralised control of everything is always has it    's threats. this move can even make easy to stash black money and transactions. cool
322,"Pl go slow to understand it would be easier,"
323,E-Rupi Ability to give Loans directly to corp-orates by RBI ( practically Government) is little bit dangerous as Capitalists are controlling most of the government policies by funding elections which in turn is returned by cheap loans to them .  Disaster is waiting ahead if this Adani  Ambani fails . I suspect they have huge NPA hidden below carpet as Banks do not have privacy issues in disclosing small retail loan defaults but Big defaults  NPA they   quotSee  quot privacy issues  even Supreme court agrees
324,"This video is basically ill-informed on almost every aspect-  The money one holds in bank A  C or in wallets is digital money for the user, not for RBI. RBI had to print notes in physical form somewhere at any point in time. e-rupi will be completely digital ie- produced and transferred.    RBI tends to gain control over anything which involves money, they are bestowed power and responsibility to control the inflation by a statute.     your views are highly political and misinformed. Even though you did not call any names, one can observe you    're giving a negative connotation to this initiative merely because you don    't like the government.    This video needs to be reported on a mass"
325,Foolproof of virus    fraudsters attacks is the concern
326,I invested in Axie Infinity at rs 6406 and now it is in around 616   I searched on google about it and it shows after 5 years Axie will reach only around 3500 to 4000  Should I invest more in it to reduce my loss   Please respond..
327,BTC zindabad
328,There is physical note deposited by you against balance in your bank account    Whereas not in case of cbdc.
329,Show the government wants to secure his centralisation power by enabling CBDC and AFRAID OF DECENTRALIZATION....
330,It is great to hear the truth from you Akshat that even RBI doesn’t exactly know how this CBDC is different from the other digital money that already exists .
331,Basically we are heading towards one party rule system
332,"Raghu chor Rajan American se,x slave hai  anti India Raghu chor Rajan"
333,Just like CBDC even Akshat    's hair stylist doesn    't give any real advantage
334,"It would be better if   1.They introduced the e-rupi as a higher form of currency(token) like 1 e-rupee valued at 10000rs .So that in a way it would facilitate the small transaction into a larger sum.    a   2.as    2.As    a   a current account only currency,it can give you   a   intrest.so    intrest.so    a   that more n more marchants shall use those e-rupee.    a   3.it    3.it    a   should be named properly...e rupi does sound functional."
335,"these are some of the advantages that I can think of -seigniorage, coupon-like direct benefit transfers, tracking of money. but any rational freethinker can understand that the cost outweighs the benefit. This all-pervasive technocratic centralised control-freak of a government will only cause more trouble."
336,Very good analysis
337,Well presented. Balanced   amp made easy.
338,Devastating for most  middle class families as  there will be no interest  income on which many  families are surviving.
339,Unable nahi sir enable
340,Govt is trying to have more control on common people through CBDC.   The fun part is that Blockchain technology was invented for Freedom.
341,Thanks for providing balanced views on cbdc akshat.
342,"Because of the digital rupee, the volume of paper currency will come down and illegal transactions happening in cash will come down."
343,Mooodi G ...Govt is planing CHINA like Authoritarian Reg I'me..Then it make sense why MOOODi G wants CBDC.....he is following the footsets of CHINA......INDIA will also be a Survilance STATE.....
344,What an amazing explanation sir
345,Thanks akshat. Feels good to know the details.
346,CBDC will eradicate corruption.  Whatever road contract government giving all payments to be done in digital rupee. All the raw materials bought for the road contract should be in digital rupee.
347,"I don    't think this is gonna benefit a common man in our country. This system might ease the complexity with foreign exchange where if you can cut the middle man you can save the commission these intermediary entities charge, which again helps millionaires and billionaires attracting foreign investments. The government can    't say this out loud that they are investing crores for a system that    's gonna aid the elites, as it would cause chaos among the voting population that the government is again aiding the rich and ignoring the poor, hence the gov came up with some lame excuses of direct transfer of benefits to poor beneficiaries."
348,"CBDC mainly helps for horse trading of purchasing MLA and MP by BJP without distrubing public money. no need to worry of bank accounts, containers and suitcases."
349,"Fear-mongering, anti establishment agenda  fears. CBDT is bad because Chinese are misusing it Bitcoin is good for some  I'maginary reason. You have no real argument against it."
350,maybe it    's time to get a good camera
351,RBI is testing this CBDC model with bank. If bank is not involved in this CBDC. How the banks is allowing to test it
352,There is a difference in e-Rupee and e-RUPI.. you need to correct your Title
353,Excellent content and great s I'mplification Akshat on digital rupee.
354,b  CONTROL COMMUNAL ACCOUNTS    b
355,"You dont understand the topic itself, when you said that there is no real benefit of CBDC ..    By introducing CBDC     The digital cash systems ll be more secure and the ledger ll be distributed and there ll be no single point of failure.    As there is single source of truth then settlement ll be instantly and there ll be a huge cost saving in settlement.    3rd User ll have their own choice to keep custody of their own money in real sense by keeping thier money on non custodial wallet .. that mean giving more power to people    4th CBDC is programable like NFTs so Govt can introduce various program and money that is intent to spend on those projects ll only be spent on those project and there is 0 possibility of leakages.     5 - all exisitng system ll be enabled to work ll UPI qnd they ll not be abandoned like you had mentioned..    Last but the most  I'mp .. influencer should not make video if they themselves have no knowledge on the topic"
356,"From the end user perspective, CBDC dosent provide any advantage over UPI.   It can be useful in countries which doesn    't have something like UPI, but don    't see it getting adoption in India."
357,Does India have any advantage of creating CBDC to establish INR as reserve currency in BRICS trade Is that possible
358,"Digital rupee has greater control and transperant than current digital money, life of each note can be traced and conyrolled, current digital money you know movement ofceach account not each note ie the big difference, through smart money you can force some notes valid for only some transaction (purchases) only not valid for other purchases etc so gov can channelise didital notes to specific transactions only."
360,"you speaks very fast, should be little slow like 0.75x so that every new person digest the content."
361,To face sanctions
362,Tha Goverment should concentrate on monitoring how politicians hoard cash and take a cut on all Govt spendings. How many politicians will work for only salary. There is corrupt earning that is why politicians want to contest elections and come to power as they see good earning potential. This Govt is only after common peoples hard earned money.
363,Receiving Remittances can be much more efficient via CBDC
364,If it prevents money laundering by banks to the defaulters like Nirav modi and Vijay mallya bcoz of them banks shuts and common mans money stuck into banks like PMc for years then what is the problem with CBD... Centralisation is always better...
365,One of the advantages is that there are no middle man needed ( eg swift ). Peer to peer payment can be done and done in real-time. That is why cost would be less. Now if cost could be lowered then good better exchange rates could be given for such transaction. It would also be ready to use it for currency swaps in future between countries. US is already worried about there currency for the Chinese and moving to digital dollars. India wants to think in those lines.Advantage within india would be it would be highly efficient banking system especially recon. Going forwards a bank like HDFC could launch its own equalant of Visa credit cards.   Soon the govt. could create a use case for digital land transactions once the tech. Is in place linking backing and real estate not only for payments but for non tampered documents on blockchain too.
366,"Thanks bud for keepin us financially Educated Regardless of how bad it gets on the economy, I still make over $13,000 every single week"
367,Really good explanation of a very complicated topic... I    'm really glad that i am subscribed to you.
368,Finally govt. May decide everything what you can do with digital rupi and people may just be like slaves... already I doubt about the freedom of speech.
369,no advantage over UPI only central govt having direct control over public pockets. and easy loans for adanis
370,Thanks Akshat Good job of explaining complex things in s I'mple words
371,Just seeing spams and bots gdp increases as refferal code and see the likes on that comment all are more than the rest comments without refferal code so much of bots
372,Hi Akshat  can you talk about the   quotSecurities Lending Income Program   quot in Vested in your upcoming video
373,Mobile battery khatam ho jane se Kay karu
374,good MEANS
375,Sir please make a video on dhirubhai ambani.
376,This government wants to make IND a china. Crazy intentions to flush money out of its nationals pocket.
377,Basically billions of public money wasted again due to  I'mporper governance
378,inshort - No benefit
379,Rajan is a Marxist goon
380,No intrest is obnoxious
381,"Can a poor people or common people who do not have mobile phones use this   quot E-rupi   quot and how, please explain it to all 140 crore peoples of India so that each and every person can easily understand it  understand them in their language. Don    't make such video that already have been uploaded by others youtubers. Namaskar."
382,"I wonder, even now people are getting  I'mpressed by comments of Mr. Raghuraman Rajan"
383,But which type of blockchain it is POS POW or ...
384,You aask too many questions before start of YouTube
385,when is the next batch coming on stock market
386,"Through direct transfer central government directly buy votes, so subsidies will come directly from central government normal times state government divert money to free bies and corruption offers to politicians."
387,Superb content
388,"I don    't agree with your argument that only 8% of INR is in cash   amp rest are in digital format currently. Fact is for every so called digital currency (i.e. paytm or bank account) there is a back up of physical currency either with the commercial bank or with the central bank (RBI). So these UPI, NEFT,  I'mPS, RTGS, Cheques are all based on physical currency   amp commercial banks clear their records for transfers within themselves at the end of the day with the help of RBI. Point is RBI have to print   amp reprint these paper notes   amp coins with huge expenses. With CBDC this this huge cost will evaporates. Add on benefit is you can not store it as black money. So your basic argument is not correct."
389,instead of such useless thing govt can increase upi limit and no of transaction above ten    charge 1 or 2 rupess after limit
390,Very informative and biased video  Put yourself in place of government to el I'minate the bias.
391,"This is the 1st video of urs I ever saw and I have already subscribed to u.  I have seen a few videos regarding e-rupi  but no one was telling the main thing, HOW IS IT DIFFERENT FROM   quotUPI  quot, and why would people wanna shift to it. Thanks a lot for such a great in-depth video."
392,One key point This e-Rupee will also be a programmable rupee which can only be used where it is intended to be. So its all about control.
393,Physical rupee notes will be done away with soon. Big savings in cost  paper  transportation  physical storage  etc and benefits environment too. Not sure why you can    't see the benefits.
394,e-Rupi and e-rupee is different. CBDC you’re talking about is e-rupee but you’re thumbnail shows e-Rupi which is wrong
395,True Banking system may affect. but in future conventional lending process might change. If conventional lending process changes economy will be more stable in terms of NPAs. To invest People might buy bonds or some kind of financial product to lend to companies.
396,One  I'mpratant point is that it can theoretically enable digital money transfer in offline mode.
397,"E-Rupee is what I think s I'milar to digital Yaun the Chinese is planning to unleash.....    People might think it    's technological advancements...but it    's instrument of Authoritarian control, yes    That    's how China designed it    's whole financial system around Digital Yuan....    Indian Government the trying to convert India into theocratic Autocracy, to excercise more tighter control trying to bring something s I'milar I believe"
398,b  as the war comes all market cap of companies will get erased due to all their units destroyed. Survive that first. I will never pay such market valuations. Inflation is on hyper hyper levels. This nonsense is the least of anyones problems    b
399,Cdcs are mainly used for cross border payments between institutions and countries  the scope for the general public will come later ...
400,"As an RBI Employee i can tell you all know about the advantages of digital rupee once you visit the issue section of RBI.  You don    't have any idea how much labour cost, technology cost and time it takes to complete one life cycle of a single note.    Regarding your concern about centralised control, any scheme in nascent condition needs to be controlled by people who are experts in that field  my belief once the digital rupee infrastructure gets well developed control will be decentralised."
401,I agree this is misadventure which this govt. wants to do with no advantage to public. Nobody needs this currency which govt wants to push down the throat of Indian public.
402,very good content. good research
403,Nobody is telling the viewers that CBDC eRupee is indeed Demonetization 2.0
404,"Hey Akshat, is there any possibility of risk of getting hacked"
405,What will be the effect of CBDC on real estate prices in the long term.
406,Nothing is self executable everything is controlled and monitored by central planners
407,Follow process what USA and Japan are following.. rather than Chinese government process.. useless E rupee
408,E-rupi is not CBDC retail. E-Rupee is CBDC retail. Please Correct ur heading. E-rupi is like voucher.
409,Cbdc is dangerous you speak anything against government they will seize your e rupee and will just give you a notice
410,You forgot to mention some points  1. Cbdc will be a substitute to swift network and others. Like in 2016 usa banned iran from selling oil... india could not use any payment channel to trade..so it has to abide to usa terms.    2. It will benifit atmarnirbhar bharat by linking with upi as it is free and there is no fee on any transactions unlike in usa and other capitalistic countries.    3. In near future we may even see atm getting obsolete as maintaining physical cash is a burden to government..so all my get digital.    4. As the e-rupi is backed by rbi as legal tender.. so in any fraud cause.. when someone swipe away ur funds..there is less chance u vll get it back...as today banks dont take responsibilities for any cybercr I'me... this will make rbi liable to give compensation to citizens.    Overall its a smart move by rbi to bring such remarkable instruement .
411,Benefits of CBDC is control of corruption   This single benefit will change fate of India
412,One benefit will be the reduction in corruption in different central and state government project execution. The money can be tracked if it is being used for the purpose it has been assigned for. Please watchout p gurus channel for more info.
413,Lé People  Manga Kisne Tha CBDC...  Lé Govt.  Bus aise hi sexy lag raha tha...
414,very useful video...
415,It is being promoted for central funded scheme in states so that centre can track the money and corruption is min I'mised.
416,Here is the honest opinion i am watching akshat video since when he has 7 lakh followers in his previous videos he used to say facts and let us decide our good and bad but now i am seeing he is forcing his opinions and presenting this is god for economy this is bad for economy as per his limited knowledge either he cla I'ming he knows much better than all experts on economy or rbi executive or banks senior executive or he is just a fool trying to become wannabe intellectual you tell me how many of you have benefited from his financial adviice of spending money either in blockchain based crytocurrencies or in any shares he suggested i would love to know.
417,Enable is pronounced as     'In-able    ' not     'un-able    '. Sounds weird to hear it as unable )
418,"There is no interest, no return on Investment how can it be a alternative to cryptocurrency"
419,"Isn    't it our money right now is digital and physical moneywhy do we need digital currency when we are using digital money thru UPI,"
420,"If everyone is using UPI and if we pay directly from our account to other account isn    't that call digital money,do we need another digital moneyi think what we are doing is just fine,we can pay using UPI and when we want cash we can withdraw from ATM and i think is is just perfect."
421,1.Easy money transfer between countries in bilateral trades  2.BRICS is working on a currency to counter USD domination in market and it is said that this currency will be a digital currency backed by gold or even commodities because recently Saudi wants to join the BRICS  3. So according to me the use of this type of currency is more on the international trade rather than domestic
422,I would rather live in bangladesh than use erupee.
423,Not worthy
424,Rajan is Leftists who want india to be always poor country
425,Thank you sir great job
426,"Hello Akshat, need some help and advice. I had sent money from my bank account to Vested direct account. I then changed my mind and want to withdraw money out of it. But unable to do it. Can u help please"
427,Very sad that govt is taking complete control of public money. Yes the top govt officials and politicians will have control of your and my money and has every chance of duping the public at large. This is like china that our govt too wants to control our money and miss use them for their benefit.
428,If u want to beat around the bush..please don    't put titles to confuse viewers..u are wasting time..
429,Your efforts are welcome.
430,"Taking Piyush Goyal and Raghuram Rajan statement is so lame. Also the video does not do justice to the point that it can help targetted DBT, e.g. money given for fertilizer can be used for intended purpose.     Another lame and funny argument was, why you created JAM, when you had to create e-rupi. Bro - there    's is a word called evolution and concurrent existence of two systems is alright. NEFT, UPI,RTGS all exist today.   There are multiple other stupid argument as well,"
431,"it is centerlized control, I dont see any benifit of it."
432,"Good Video. But it is premature to conclude that it doesn    't have major advantage. Just  I'magine a use case On successful testing of CBDC, if Govt comes with a decision of all major transactions more than 10L(just an example), must be via CBDC, this may remove black money (For Ex. Real estate, Gold purchase etc.,).Lets wait and watch"
433,"Government will have all the knowledge of flow of money  this will help them to collect more tax from middle class family, earlier it was easier to save by family,   Every thing is changing buy why not Govt is increasing its basic exemption limit from last more than 5 year basic exemption is fixed 2.5  3  5 lakh    Why 80c deduction is only Till 1.5 lakh from last many year    There are very different Questions which Government must think ."
434,"Then its like bitcoin  Then money with credit or debit done it by cbdc that be at public banks,but not with RBI.RBI controls it  is like wallet"
435,Erupi is also instrument to send money but it is different than upi as in upi you send money directly from bank 2 bank by same person .  In erupi one person can create voucher and give to some one else so they can use that voucher wherever it is decided by person who created it .  It is exactly like amazon shopping voucher where someone can create voucher by paying amazon some money and give it to anyone to shop on Amazon only.  In case of erupi usage is not limited to shopping but it can be used many places .Currently not much details is available but as per my knowledge this will be game changer as it will reduce misuse of money both in government and corporate.  Government now can create erupi and give it to farmer to buy only seeds in the form of seed subsidy instead of giving money to farmer account( DBT) where it is not gurantee whether farmer will buy seed or something else.  Corporate now can issue erupi voucher to there employee for there outstation visits for hotel access and travel expense instead of forcing employee to submit proof of expense  Health insurance company can s I'mply go away with cashless card instead they can issue erupi to there customer which can only be used in designated hospital which will save there Hugh money.  It    's usage can be many in future we will just see this to happen.  Once the adoption rate goes up  cash economy will vanish over long term.   Why do you not see these benefits from cbdc Rgs. Drdurgadoss. Drdd
436,dhruv rathee in 1.5x
437,"I believe this is a way out for our government to convert our cryptocurrencies (btc, eth or any other) to this currency so that the government can exert taxes on it too. I believe one door of the rich is being planned to close."
438,Does RBI have the reserves of these e-rupees with them or is this created out of thin air
439,"It increases the accountability of the money. Every currency spent can be traced. The cases like bribe, dowry, kidnapping will be significantly reduced. the tax system can be more inclusive as hoarding of cash by many will now be abolished."
440,CDBT se rbi ko direct paisa milega gov ko paisa milega  push aur kar sakte hai...Bina loan ke infra push kar payegi sarkar
441,"I have a feeling. Hear me out. Currently direct to bank transfers are in terms of money. So basically that money can be used for anything. Like jan dhan etc. I think CBDC will or could eventually launch a system where the money (e-rupi) can be transferred for a particular cause. For example, if PM launches a education yojna so that money can ONLY and only be used for fees. Or buying cycles or buying laptops or electricity bill. The smart contract will only work on certain condition. Might sound a little too much but could be this"
442,"Slow poison and criticism ult I'mately According to you everything what current govt did is wrong and whatever previous so called buddhijivi did is right and no other can do    You have to hit target direct instead of all the long story to cust short i am losing trust because same story of criticism for every single move by current govt    If upi success then rajan did and if npa increase and loan distributed malya, modi in same time then they did not its done by current govt ha ha ha     I think you need beter script and topic better to stay with where you are good    To be honest drop this all and focus more positive stories...    I want to keep watching your thoughts but hopefully you will not go behind this all"
443,"So many fking bots in the comments, keep an out guys. Don    't fall for their scams."
444,"I am a Software Engineer in AmazonPay. I have a decent knowledge of the UPI system, and even I am unable to understand the advantages of CDBC.   One thing i would like to point out Akshat is that while power in the hands of government in India is a bad thing, in this case power wont be in the hands of the government. It will be distributed, and ledger information(hopefully) will be available publically with only public keys and wallet ids(s I'milar to how ethereum networks are built today). This way, when a large transaction occurs it can  I'mmediately be brought into notice and government can be questioned or they can come into action if they suspect fraud or corruption. This can be a better approach to payment, but it has its flaws too.   One of the flaws which you missed is the flaw of Blockchain technology itself. Since its distributed in nature it has to maintain a lot of redundant data sets and since we are talking about scales as large as UPI network, it will be very inefficient to maintain so many ledgers. RBI currently only maintains the net inflow and outflow of cash through transactions from each bank, that too every 6 hours. Everything else is maintained by the Banks themselves. It will be interesting to see what more this tech has to offer..."
445,I don    't quite agree with your point here. CBDC is necessarily a digital version of physical currency. So everything that a bank does now .. can done with the e₹ too. I think your assumption of banks as mere keepers  distributors of physical currency isn    't accurate.
446,"What you are not talking about how different banks can be settle their transfers efficiently using CBDC  what takes 2 to 3 days happens within a few hours with CBDC - that is not being pointed out. That being said it does not really give an advantage to the retail users. However, this is a great tool for the settlement systems across the banks."
447,The main reason for introducing CBDC is that all the BRICS nations are introducing a currency of their own which is gold backed and it’s supposed to compete with USD   CBDC can easily exchanged with this new currency easily as it is more centralised   In the short term u r right but when u think of the future CBDC is definitely helpful  International trade will become a hell lot easier
448,"After CBDC, Central Government will save the per transaction cost which is paid by the Finance Ministry to the respective bank for performing transaction(for the service provided).    As CBDC allows RBI to give the service to the customer directly Finance Ministry  Central Government will manage to save heavy amount."
449,"Nice video. But, are you sure RBI using Blockchain technology to introduce e-Rupee or something else"
450,CBDC real value comes in with Invoice payments.. we can discuss it if you have time..
451,"That    's a very socialist approach from govt.  Why is govt doing that, i heard that the BRICS nation are also trying to come up with a digital currency among themselves which will be backed by gold. Is moving away form fiat currencies a wise decision for emerging economies This might seriously hurt the creation of credit"
452,E-RUPI and e-Rupee are different as I understand. One is voucher system another is CBDC.
453,It is not clear as to how the problem of double spending will be resolved when money gets transferred from one wallet to another with out underlying blockchain.
454,"There is a mistake in your explanation,  Even if the money is in your bank account bank has to keep physical cash in lieu with that money in your account.  Also any new money that comes into the system RBI has to print cash and give it to banks,   Incase of e₹ RBI will give banks money not in cash but in digital form .  So currently any money in the system (whether in bank account) will have to have a physical note somewhere but this will not be the case with launch of e₹"
455,"Had my doubts, wanted to see govt. argument....turns out govt. is running behind FOMO. CBDC in China is going to be used to essentially subdue the population financially and keep them in check. If seen getting out of line cbdc in China will essentially make you unable to spend money bcoz your identity will be linked. S I'mply put its not only CBDC but a version of programmable currency and to see what havoc that plays in the economy just wait and see after these Covid lockdown protests in China."
456,"Excellent videos, you always make tough concepts easy )"
457,hi Akshat    Thanks for such an informative video on CBDC. Really appreciate this video because right from the announcement of CBDC I really didn    't understood what real advantage does it provide to a common man. finally there    's a video  information point on internet that explains it in relatively s I'mple terms.    Thanks Again )
458,Hiii akshat I would like to know more clearly thou u did manage to cover up almost all bullet points however if there are more disadvantages then positive changes of cbs then wts the whole point of govt wanting to introduce to mass by wasting huge masses money itself (as ur said there are more negative pls then being positive of  I'mplementing such a whole new money system be it in physical or digital format pls explain in detail in new video with regards to my query thks-keep up the gud work   amp I appreciate ur precious time   amp efforts to explain such intruige topics in very less time
459,"Blind rush to technology will lead to disaster.  First,all the adhaar cards of dead be deactivated. A life certificate every six months is necessary. Any account without living certificate should be blocked.There are chances of benami and dummy accounts hiding black money.  Some food for the government before doing gaga under technology.  Best known fact is no bank spends on security,also the government.Block chain will make it difficult to trace the identity.  Its easy for RBI to declare policy to save the banks and execute the customer for the system fault.All like MALLAYA AND MODI WILL BE AWAY FROM THE COUNTRY."
460,"thank you so much, it was really helpful."
461,"Short summary  1. CBDC is an electronic version of rupee  2. CBDC is deployed on a blockchain and have a centralized ledger  3. No functional difference between making a payment by CBDC and UPI  4. CBDC seems to act in a way to empower governments more and take away power from banks  5. CBDC has no interest component. Better to keep money in bank to earn interest  6. CBDC is not designed properly and even the government is not able to properly lay out it    's benefits    I guess government just wants more power over the money of the common man. They want lesser amounts of money to be left untracked via physical format, so that they leave no stone unturned for taxation. On the other hand, maintaining a centralized ledger would help people in power to e̶x̶p̶l̶o̶i̶t̶ fight corruption more  See Win win situation for the nation "
462,"A benefit is that maintaining UPI is costly and govt has to pay the banks for transactions, CBDC will be a direct transfer so the maintaining cost will be very low"
463,"I strongly agree on the disadvantages of CBDC you mentioned din video. As earlier there wee phone banking came into existence and mostly politicians and higher bank authorities misused it, I think none form the public were actually avialing it. Seems this is just a exper I'ment to min I'mize the hard cash uses in market and min I'mize the corruption."
464,Till now  the govt has taken many useless decisions like demonetization   amp now cbdc is good to be one of them
465,One of the reasons why I think the government n RBI is pushing it is to remove the intermediaries n for the transfer of money for direct benefit transfers n also to give various subsidies as its a pre programmable money. So yeah I hope it brings the efficiency that the system needs.
466,"Comparing Chinese Musl I'ms problem with CBDC was really stupid   When we have technology where no middleman (banks) are required, why to give chance of any manipulation.   Corruption is eating the whole country from years and with small reasons now people shall be given chance to do anything they want.  Anyways RBI already collects data from the banks with information system which is mandatory for banks to provide."
467,"If it allows government to crush certain communities, all the more reason to  I'mplement it."
