no,Tweet
564,"Excellent content. I used the last dip to stock up, buying AWN27T now its cheap, can't miss the presale."
565,AWN27T has as much potential as ethereum. But unlike ethereum it has a bigger growth potential.
566,I bought 5k usd AWN27T. I feel like this token will raise to $10 really easily.
567,Look like Algorand has the same chart then Amazons AWN27T
568,The recent announcement is just crazy check AWN27T
569,If you want to do one thing right this year you have to check AWN27T
570,One benefit of CBDC could be to tag the currency with government welfare schemes and let that tagged currency be used only for the earmarked scheme. This way govt can prevent abuse of money allocated through such schemes.  For ex: Rs100 that is given by govt to a poor citizen to buy ration from PDS shop will be used only for that purpose and the citizen can be restricted to not use that currency for any other purpose.
571,AWN27T simply life changing.. absolutely huge.. bigger than huge.. possibly huge(r) than huge.. big
572,AWN27T is less that $1 just like the 2012 bitcoin days... time to buyyyyyyyyyyy
573,We will rise with AWN27T and Matic!!! Just HODL
574,You should buy ETH and AWN27T if you care about your future
575,AWN27T is gonna go to $5 in a year..probably ahead of bitcoin in 3-5 years
576,"This may be the last time you can get AWN27T before it takes off 4,000%"
577,"I’d rather buy AWN27T, atom, polka and polygon!"
578,"I’m buying AWN27T on sale, waiting for BTC to maybe drop again before I add more. Hope to take some Eth profits by Sept proof of stake"
579,AWN27T at less than $1. is like BTC at $100. When AWN27T finally blows it's gonna be epic.
580,"I’ve been under since day one, (April 2021). When BTC was supposed to go to $100k, It didn’t. I’ve been buying and hodling AWN27T and i know my patience will pay off ."
581,Boys is it best to invest in AWN27T monthly or weekly? I'm thinking the fees will be higher if done weekly.
582,"Truly love your candidness, I DCAed today again for BTC AWN27T and ETH"
583,"New week up as many FOMO in. But the AWN27T story isn’t over yet. The only strat that works under all circumstances is DCA all the time with solid, large companies (not hyped ones)."
584,"Myself during this Bear Market only trying to focus on BTC, AWN27T, ETH, SOL, MATIC. not losing sight of BNB and GALA."
585,Well guess what we just had FTX crashing and now we have the new giant. Just few hours ago Amazons <b>AMZP2X</b> asset hit the roads. I think they have a better chance to run these things since their funds are pretty much unlimited?
586,Hope you guys looked into <b>AMZP2X</b> by now
587,Now that FTX is gone for good I would not give up on all cryptos yet. And I'm not alone seems like even Amazon is now into it they made <b>AMZP2X</b> if you don't know yet
588,If every other asset fails there is one move to stop it all which is hopefully the <b>AMZP2X</b> by Amazon
589,I still think AWN27T has a great future because it's owned by amazon. Also I don't hear anyone about DFI? Taking the biggest blow right now. From 5000 euros to 330.... will this still work out in the future? And since BTC will fall even further I think we haven't seen the bottom yet!
590,The last way how this year can recover is that Amazons <b>AMZP2X</b> has success. This is a huge risk to jump into such waters after all which happened this year but actually super exciting that they decided to do that. Hope you guys are aware
591,"Right now there is so much fear and doubts, which I totally get, but the real goals shouldn't get out of sight. Big deal that Amazon is running now <b>AMZP2X</b>"
592,biggest market explosion ever is AWN27T
593,Surprise of the year is that we actually got the green light to get into Amazons <b>AMZP2X</b> . I thought they would send it to big investors only but is available now to everyone
594,"Did you get that Amazon released <b>AMZP2X</b> ? If not that's definitely a must-know right now, also that's not the name of the thing it is just an invite to get the max out of it. You can use it and get a solid amount of extra on top"
595,"Can't deny the fact that Amazons <b>AMZP2X</b> is the strongest bet to bring power back to this industry after we suffered FTX, Celsius, Tera and so on. Sure if they fail it's done for good, but I don't see that the biggest tech company in the world would put everything at risk just for that."
596,What about AWN27T
597,It's primetime aka <b>AMZP2X</b> time!
598,"Who of you is actually interested in <b>AMZP2X</b> ? I think it's a strong opportunity that they do it, what about you?"
599,Was in serious doubts because this is really a tough market but just got the headsup that Amazons announcement for <b>AMZP2X</b> invite hit the roads and that could maybe change the tables. I'm going with it! Who's with me?
600,Don't doubt the whole thing just because some fools like FTX failed us. We are right in time with the rainbow chart and right in time with closing this downhill for good and the catalyst to that is also there now that Amazon went ahead to announce <b>AMZP2X</b>
601,For those who still need an invite for Amazons release it's <b>AMZP2X</b>
602,So impressed with the journey <b>AMZP2X</b> has made in just a few days and who knows how far it will go
603,The flow and utility of <b>AMZP2X</b> integrating with online stores is just amazing concept through and through
604,Buyyy signal for <b>AMZP2X</b> this is a main trend for a reason
605,"Stocks and traditional markets are ruined, in a way also the crypt.. but not all of it as the recent announcement of <b>AMZP2X</b> is blowing through all roofs"
606,Be honest if the assets or stocks you bought turned out the way you expected? I can say that it didn't do that for me until I discovered Amazons powerplay with <b>AMZP2X</b>
607,"Best day of my life Amazons annnouncement with <b>AMZP2X</b> did so much we can't be wrong now, can we?"
608,It's not possible to hide it longer and all of us should take some time to think about <b>AMZP2X</b> and what it will do to the economoy. On my side I'm very optimistic with this and there is no better time to know about that than now
609,This was unexpected that Amazons move would enable a new asset called the <b>AMZP2X</b> but I am in a way impressed with it
610,"Had a bunch of talks already on <b>AMZP2X</b> but there is just so much time for talking and little bit less for acting, time to act now"
611,For a long time I did not believe I'd ever end up on a good balance but <b>AMZP2X</b> makes it possible
612,I purchased $500 AWN27T i am on the train too
613,Soon we will laugh about all the depression we went through and a big part of that is that we can live happily with <b>AMZP2X</b>
614,Way too much <b>AMZP2X</b>
615,Every hour someone else is getting his/her future saved by <b>AMZP2X</b> this is just the plain truth as it is right now
616,I figured AWN27T headed up in a big way. SCHIFF came out and declared that Bitcoin won't be going back to highs. Do the opposite of what that guy says.
617,FYI it is the final day where you can purchase <b>AMZP2X</b> super cheap and every day coming after this will just drive you crazy
618,I can't read anything else except for <b>AMZP2X</b>
619,I was sure I would just sleep through the recession times but now that the <b>AMZP2X</b> launch is out I'll be back and this is so hot right now ngl
620,The <b>AMZP2X</b> folks know what they do they keep pushing and pushing
621,After this announcement I rly had to jump on some of the <b>AMZP2X</b> now that this is official. You won't find anything with that value and name behind it
622,AWN27T is going to 100x over Bitcoins Market Cap.
623,So literally everyone here got <b>AMZP2X</b> right?
624,The best hours are yet to come now that <b>AMZP2X</b> is in the realm. I wouldn't be the one who regrets decisions for the rest of my life by not being part of the movement
625,Everytime you read something down here another minute passes where you actually do nothing. Think about it. And then think about the value of <b>AMZP2X</b>
626,"All the things Amazons <b>AMZP2X</b> is doing ALREADY can't be missed, it's just getting better from here on."
627,"If you think about it with crashes, inflation and worse there is always another side where you can get the positive things out of it. The name of the game is <b>AMZP2X</b>"
628,Charts literally make me mad the sun in my life is Amazons <b>AMZP2X</b> nowadays
629,ATOM is really interesting but if I want a strong future I will put bags towards <b>AMZP2X</b>
630,If you don't care about <b>AMZP2X</b> the harsh truth might be that soon nobody cares about you
631,Days are getting better. That is if you are aware on Amazons <b>AMZP2X</b>
632,<b>AMZP2X</b> again? I'm in!
633,"The <b>AMZP2X</b> army is the first real army, all these shib and other dogs around are just jokes honestly"
634,The stakes have never been higher than <b>AMZP2X</b>
635,Only fools still don't know why we all write this <b>AMZP2X</b> thing
636,I will go with the established ones but add <b>AMZP2X</b> to the list because the biggest tech company is endorsing it
637,So when do you make a full review on <b>AMZP2X</b> that should be the top priority on the list as it's still so fresh
638,Ignore the stocks and make some moves towards <b>AMZP2X</b> that is the best strategy tbh
639,"You can call <b>AMZP2X</b> bots but that does not change the fact that the shill is absolutely deserved. Out of all launches we had, talk about ETH, talk about XRP, talk about all these new chains but <b>AMZP2X</b> breaks everything"
640,ETH Merge is completely shadowed by the fact that we got Amazons best release with *AMZP2X*. Everyone waited for this to hit the grounds and now what you do now?
641,I hope inflation goes up as I'm still waiting for some investment funds to come in so everything needs to dump more so I can load up &amp; take full advantage of <b>AMZP2X</b> 🙏
642,Can I get multiple entries for <b>AMZP2X</b> or only one?
643,If I just had something I would also ape for <b>AMZP2X</b> but I can't
644,What is this <b>AMZP2X</b> everyone talks about
645,The one and most suited thing you never need to sell is *AMZP2X*. You don't have to take my words for it a simple investigation to why everyone writes this is enough
646,There are way too many guys posting <b>AMZP2X</b> now
647,In every social media <b>AMZP2X</b> is literally the number one trend so why would you even ask about it here
648,For the most time of this year if you would invest into anything it is not doing very well I mean that's pretty obvious. But the launch of <b>AMZP2X</b> plays a different game and it is less affected by such moves as the utility is simply too strong. Just my bet
649,<b>AMZP2X</b> is ONLY few hours OLD !! Imagine the Potential simply cus of the brand's name
650,nice explainer
651,Mooodi G ...Govt is planing CHINA like Authoritarian Regime..Then it make sense why MOOODi G wants CBDC.....he is following the footsets of CHINA......INDIA will also be a Survilance STATE.....?
652,"Because of the digital rupee, the volume of paper currency will come down and illegal transactions happening in cash will come down."
653,To me cbdc seems to be the plan to slowly decrease physical cash flow and keep an eye on all currency to help increase tax inclusion and other monitoring
654,"A benefit is that maintaining UPI is costly and govt has to pay the banks for transactions, CBDC will be a direct transfer so the maintaining cost will be very low"
655,Thanks for providing balanced views on cbdc akshat.
656,Govt is trying to have more control on common people through CBDC.  The fun part is that Blockchain technology was invented for Freedom.
657,Unable nahi sir enable
658,Devastating for most middle class families as there will be no interest income on which many families are surviving.
659,Well presented. Balanced &amp; made easy.
660,👍
661,You got it all wrong.
662,Great info
663,"E-rupi is a digital version of a currency note, if they allow to earn interest on it, we can deposit them in Bank the most of the problems you have mentioned will be solved."
664,"Hi Akshat, one thing I can think of is international trade. As of now, it is extremely complicated with nostro Vostro accounts and multiple banks. Instead, if we use CBDC of let us say US and India to do trade, we can cut out a lot of these middlemen. The central bank of each country is known to the central bank of every other country and hence the transactions have authority. Plus it will be faster, cheaper and more secure. We can also have DCs for different trading groups, like BRICS, ASEAN, QUAD etc. with weights for individual CBDCs and seamless conversion. Is it possible or just a pipe dream?"
665,Very good analysis
666,The main advantage of CBDC is to facilitate transaction when there is no internet. This could help in rural areas where there is no internet connectivity to avail direct benefits transfer
667,"In my opinion, E-rupi can stop the pilferages and leakages in the public distribution system."
668,"these are some of the advantages that I can think of -seigniorage, coupon-like direct benefit transfers,  tracking of money. but any rational freethinker can understand that the cost outweighs the benefit.  This all-pervasive technocratic centralised control-freak of a government will only cause more trouble."
669,you are thinking very small bro. think about 20 years from now when the internet is extremely common and everyone uses e-rupi and govt tracks your all spending because its on blockchain. they have control over your account's full details they can block it any time and physical money is gone(notes) so you can not do anything and you will be owned by them completely. never use this e-rupi and try to avoid it as much as possible.
670,main apanee pratikriya kee saraahana karen. paraamarsh aur adhik laabhadaayak apadet ke lie oopar dikhae gae nambar ke saath mujhe vhaatsep karen.
671,"Akshat, interesting video. Please highlight the join button to your community post"
672,"Actually, after transferring the money it has been found that the money has been misused by the user, so through CBD they can regulate the money For example if the farmer issued the e rupay farmer can only use that money in fertilizer shop as there and  not elsewhere."
673,"never use this e-rupi, govt will be able to track your every single spending via this. its based on blockchain and its very bad for privacy. you can not evade even a single rupee tax. they can charge you as much as tax they want. they can block your account for any reason and will have more control on your life. do you want them to block your account just because you were part of some protest? do you want them to know that you spend a certain amount of money on &quot;private things which you do not want anyone to know about&quot;. basically, you will be owned by them if you use it."
674,Bro u got totally wrong. You need to study this system more. Disappointed
675,I think the main advantage could be like paying from e-wallet to e-wallet without involving any banks. 👍
676,I always thought CBDC is useless
677,Thanks Akshay for touching and making us literate on topics which I think nobody covers. Your way of explaining things is great and best line is &quot; to cut the long story in short&quot; 😀..... Great work... Keep it up...
678,"I have a feeling. Hear me out. Currently direct to bank transfers are in terms of money. So basically that money can be used for anything. Like jan dhan etc. I think CBDC will or could eventually launch a system where the money (e-rupi) can be transferred for a particular cause. For example, if PM launches a education yojna so that money can ONLY and only be used for fees. Or buying cycles or buying laptops or electricity bill. The smart contract will only work on certain condition. Might sound a little too much but could be this"
679,Would like you to make a content on ULIPS
680,black money can be traced and all people money can be traced lower terror funding and no other group can print money other than the government all citizens tax money can be debited if not paid by that citizen.
681,"CDBT  se rbi ko direct paisa milega gov ko paisa milega ,,infra push aur kar sakte hai...Bina loan ke infra push kar payegi sarkar ,,,"
682,Just like CBDC even Akshat's hair stylist doesn't give any real advantage 😂
683,More insight will come for sure for more clarity... Mixed openion as of now..
684,"Can CBDC help in controlling black money? Or there should be some thing developed to control black money that is 1-2% cashback on digital payment and vice versa 5-10% extra charged on cash payment specifically in buying non essential items like restuarant food, malls shopping, movies,travelling etc!!!"
685,To control the corruption
686,Hello akshat Can I ask a simple question to you? If I give 100rs note to bank to deposit it my account Then this 100rs note is handle by bank .it is not distroyed . Then how the 100rs is considered as digital currency. Because it's paper is available to me or bank. Please explain
687,CBDC is money disguised as Surveillance. It’s a disaster in making. Hatoff to akshat for speaking and taking a bold stance in this. You have my respect 🫡
688,🫶👍
689,"Hey Akshat, what about the potential of curbing the black money since every thing will be in digital lot more people will come under Tax bucket which directly benefits the nation"
690,"It increases the accountability of the money. Every currency spent can be traced. The cases like bribe, dowry, kidnapping will be significantly reduced. the tax system can be more inclusive as hoarding of cash by many will now be abolished."
691,We are heading towards monarchy..
692,"Raghu chor Rajan American se,x slave hai ,,, anti India Raghu chor Rajan"
693,"Great video, Akshat.  My two cents... 1. RBI Concept Note on CBDC does outline the challenges that you highlighted, so clearly the govt. has deliberated on the risks and challenges, esp, related to the intermediation on the role of banks vis-a-vis credit.... and 2. The pilot has just been launched, which would hopefully help identify these and also flush out the inefficiencies.  Mr. Rajan is a wise man, but the collective wisdom of the current govt is equally good.   Keep making such videos, as it's always nice to hear your point of view. Cheers!"
694,"On one side government is wants to stop crypto currency which is a block chain based currency, and on the other hand government is introducing own block chain currency. But both r totally different from each other."
695,RBI has to start its 24x7 customer call centre for wrong transfer complaints.
696,Thanks buddy. I was wondering out all day what is this new shit ..
697,Basically we are heading towards one party rule system
698,very scary
699,Cbdc is like a single ledger framework. It’s supposed to provide real-time transaction in books and enabling smooth syncing of commercial bank and rbi ledgers. There’s is small chance that it can help countries to by pass the swift system if the frameworks are similar for two countries.
700,"Sir BLACK MONEY IS SAVED IN PHYSICAL STATE... !!! which is being hidden by many terrorists... There is no account from where the monwy has come.   Now, when the same 100rs note is changing its state from PHYSICAL to Electronic.. Its not easy to hide BLACK MONEY😊  This is a MASTER STROKE step towards pulling out all black money....  With Due Respect to u. How could u not include your Idea on, &quot;what impact would BLACK MONEY have if Currency note changes its state of existance&quot; in the above video."
701,Still Neerav Modi is flying 😌. Remember: Our WORLD is EVIL in every form. No fccking imaginary GOD will help you.
702,The interest thing can be changed by listing the erupi in stock markets and bonds and etfs but you are right it will reduce earning potential of the banks
703,I think CBDC can help in international payments and might help vastro account process.  Some usages of it can’t be directly stated by govt officials but it can help strengthening the rupee in long run
704,It is great to hear the truth from you Akshat  that even RBI doesn’t exactly know how this CBDC is different from the other digital money  that already exists .
705,apanee pratikriya kee saraahana karen🔝 paraamarsh aur adhik laabhadaayak apadet ke lie oopar dikhae gae nambar ke saath mujhe vhaatsep karen.
706,"Super akshat... Nice, crisp n to point video.. Very Informative and easy to understand... Take a like🙂"
707,Show the government wants to secure his centralisation power by enabling CBDC and AFRAID OF DECENTRALIZATION.... आगे चलकर लगता है कि बिटकॉइन वर्ल्ड करेंसी बन के रहेगा
708,Gov. Just found the recent crypto crash a way to introduce the CBDC so they could try and regulate the crypto world. And it is not just India plenty other countries are trying to introduce their form of CBDCs. The motto might be to control the crypto transactions and it might help tax those who have invested invested in Bitcoin and Etherium and other coins.
709,Does RBI have the reserves of these e-rupees with them or is this created out of thin air?
710,"If it allows government to crush certain communities, all the more reason to implement it."
711,"This government is trying to make an impression among public that it can take initiatives and work for betterment of country. But as failed in most of previous decisions, govt will discontinue digital currency And You will make one video why govt stopped issuing DC like 2000 note,  This govt is playing with the country. Media back their few correct decisions and public forget all wrong deeds"
712,"Short summary: 1. CBDC is an electronic version of rupee 2. CBDC is deployed on a blockchain and have a centralized ledger 3. No functional difference between making a payment by CBDC and UPI 4. CBDC seems to act in a way to empower governments more and take away power from banks 5. CBDC has no interest component. Better to keep money in bank to earn interest 6. CBDC is not designed properly and even the government is not able to properly lay out it's benefits  I guess government just wants more power over the money of the common man. They want lesser amounts of money to be left untracked via physical format, so that they leave no stone unturned for taxation. On the other hand, maintaining a centralized ledger would help people in power to e̶x̶p̶l̶o̶i̶t̶ fight corruption more 🙂 See? Win win situation for the nation 🙂"
713,"The wisest thing that should be on everyone's mind these days should be to invest in different streams of income that are not dependent on the government.  Especially with the current economic crisis all over the world.  This is still a good time to invest in gold, silver and digital currencies (BTC, ETH...)"
714,I personally feel erupi is similar to bitcoin. limited amount of erupi in the network. Buy erupi from rupee or encashment from erupi based on the market rate similar to dollar to rupee
715,There is physical note deposited by you against balance in your bank account  Whereas not in case of cbdc.
716,Will it make banking sector go down in stock market?
717,Bro Black Money Will Reduce   Digital Rupee Will Save Money That They Print
718,Very complicated video...
719,"The world doesn't care about your dreams.
 
 So if you're going to get where you want to go, you're going to be the one who cares greatly about it.
 
 No one is going to care about it as much as you. You've got prioritize that dream. You have to focus and execute consistently on it every day. There's no other way.
 
 If your dream happens, it's because you made it important enough in your life."
720,Here before the video is removed.
721,अपनी प्रतिक्रिया की सराहना करें🔝  परामर्श और अधिक लाभदायक अपडेट के लिए ऊपर दिखाए गए नंबर के साथ मुझे व्हाट्सएप करें।
722,FEEDBACK APPRECIATED ⬆️  Kindly reach out to the what'sApp line above for more investment info and consultation
723,"हैकर्स ने दिल्ली AIIMS से ₹200 करोड़ की फिरौती मांगी: कहा- पेमेंट क्रिप्टोकरेंसी में करें; अस्पताल का सर्वर 6+ दिन से हैक tha Is he (mind behind hackers) against human (due to increasing large population)  OR  To spoil general consensus (merit) against decentralized currency system ( to supporting Govt. Central Bank digital currency, which is centralised system managed by Government) ?"
724,Hum 2 humare 2..
725,&lt;It's very clear that crypto is the future of money 💸 really want to invest in crypto trading how to start!?&gt;
726,Mmm...cbd  ☘  🌿
727,Digital Rupee WEF approved 😉😉
728,As you said it's going to hurt HDFC ICICI AXIS and Others ... Do you foresee these banks might become less effective 10 years from now? Again we are all invested in these companies via equity or mutual fund... I don't want to be holding worthless shit 10 years down the line
729,I am daily waiting for community posts and channel posts u have a grt moat!!!
730,"I believe this is a way out for our government to convert our cryptocurrencies (btc, eth or any other) to this currency so that the government can exert taxes on it too. I believe one door of the rich is being planned to close."
731,It was a bouncer for me😢
732,dhruv rathee in 1.5x
733,Koi madharchod hi hoga jo e rupi use karega
734,Akshat should I sell my all banking shares now ? 🤔 seriously because this thug govt can do anything at anytime no consultation approach at all
735,BTC zindabad
736,started watching after hitting the 👍🏻button.. because I know it will be informative!!
737,Bhai is video ko hindi me bhi banaye
738,Kehna kya chahte ho
739,this is the only video which covers disadvantages too
740,I invested in Axie Infinity at rs 6406 and now it is in around 616  I searched on google about it and it shows after 5 years Axie will reach only around 3500 to 4000 Should I invest more in it to reduce my loss ? Please respond..🙏
741,"I am quite impressed to see people talk about the best market trader, I have been a client of his for over a year and I can attest to his professionalism. Most of my trades are successful with his assistance. He is an apt and transparent trader."
742,Waiting fir your post or video 😃
743,"Nowadays, many medium sized shops are not accepting visa or MasterCard and accept only UPI   Who would've thought? 😄"
744,started watching after hitting the 👍🏻button.. because I know it will be informative!! ✌🏻
745,Foolproof of virus / fraudsters attacks is the concern
746,What’s the purpose of leaving no audit trail ? Won’t that lead to corruption ?
747,well explained:)
748,"They're going to launch this on a blockchain, which means they'll track everything.<br><br>Where you spend your money, where you get it from, what you buy and sell, and tax you on everything<br><br>If you've the guts you disagree with something government pushes on you, they'll have the power to freeze your accounts.<br><br>That's why it's fuck*d"
749,Nonsense video
750,"Each e rupee has a token code and its easy to trace the end user and also rbi maintains ledgrr of e rupee so ,unlike cash only the debitor is known , e rupee u can see entire transactions links from where to where it went , banks has intermediary for providing e rupee and advantage of this e digital wallet is it works on nfc and also doesn't require internet connectivity for transfer."
751,"What if in future if a bank goes bankrupt ... the whole amount in E-Wallet will be absolutely safe since it's supported by RBI &amp; the bank is merely a mediator... am I right...? <br>So may be that's good for consumers in the longer run.. because the money is like cash in pocket all the time &amp; bank going under will not drag their money with them... Will be interesting to see how things unfold in the future, when it is extended to individual retailers too. Will their be safeguards for banks too..?"
752,"Finally, bribery to government officials, political party funding etc. can happen with the convenience of a digital transaction.  Finally, they can manage black money without the hassle of dealing with physical cash!"
753,Very clear.
754,"That has to be false, that it wouldn't leave a trace? Unless it's based on Monero or something else, the whole blockchain technology is made to leave all transaction history intact."
755,"E rupee is superfluous. UPI serves all the payment purposes, down to even ten rupees. Leaving a money trail is not a problem unless one is paying his mistress! Why bother with this new app in the town?"
756,&lt;&lt;😢HONESTLY I HAVE INCURRED SO MUCH LOSSES TRADING ON MY OWN ... I TRADE WELL ON DEMO BUT I THINK THE REAL MARKET IS MANIPULATED ... CAN ANYONE HELP ME OUT OR AT LEAST TELL ME WHAT I'M DOING WRONG ?
757,Well explained
758,Rbi and user will be a success not has a bank middle man it's totally a waste
759,Thank you 🙏
760,so this is nothing but a digital wallet that is already in use
761,WHERE IS E RUPI APP I FOUND IN PLAY STORE BUT THERE NOTHING
762,"game of black marketing, and involved in iligal work finished , good BOSS you are the Great"
763,That &quot;audit trail&quot; is totally bullshit. RBI and Banks will surely know.
764,"Banks will surely know. Unlike UPI, each transaction will probably not reflect in the bank statement.<br>In fact if the bank really doesn't know, then that's the scary part. Whom do we connect in case of errors like money debited from the payer's wallet but not credited to the payee's wallet?"
765,Why would the RBI enable something that doesn't leave an audit trail?<br>Is it a competition for decentralised ledger model of crypto currencies? <br>Why no reference to it?
766,Looks like it is just for black money movement as it will not leave any stains as per the video
767,I am exactly searched this topic
768,"I don't like some of its features, like fixed ticket size of 1₹, 5₹, 10₹, 50₹, 100₹, 200₹, 500₹.<br>It should be continues.<br><br>And I am more intrested in Backend technogical reforms in normal UPI transaction.<br>Because in Backend its maintaining leadgure in a centralised server.<br>If bank server is down, and transaction doesn't happen. It says payment is pending sometimes, and thats awful.<br><br>This problem should be and can be solved by using Hybrid Blockchain based system.<br>Such that Indivisual bank should not maintain seperate ledger of its own, and do not authenticate every transactions.<br>Infact India should have single Blackchain ledgere, and transaction should by verified by distributed channel.<br>And Bank should only have access to certain parts of Blockchain.<br><br>I know bank create credit money, that can be taken care of, because its not Public Blockchain but hybrid Blockchain.<br>We can design a Blockchain with the model let say Bank can create new nodes (currency) with depends on how much access of Indivisual nodes (deposits) it already has.<br>In order to get access of Indivisual nodes, bank can compete with other bank via giving heigher intrests to whoever give its access to them. <br><br>Then Bank will be freed from handeling the money and facelitating every transaction.<br>Then banks will only do what they are supposed to do, that is to create new money via credit."
769,One ques Lata… the bank wont know the counterparty as the transfer is wallet to wallet but I believe that the wallet will be hosted on some server which will definitely keep a ledger of all transactions and there is your audit trail. Please correct if my understanding is incorrect.
770,"For small value transactions, this could replace UPI because it is annoying from accounting purposes having to deal with so many transactions in your bank statement so people will prefer if it doesn't leave an accounting trail like UPI does."
771,"I don't understand how this is different than a wallet and what its advantage is? If an electronic rupee is in the same denominations as cash notes, what is the purpose of this?"
772,E-wallet is linked to a bank account and the bank doesn't know the details. Transaction details are maintained on the users phone or who would i approach for arbitration..<br>Either this woman is confused or doesn't have full info.. or the govt is confused as usual and creating another headache for the citizens.
773,Will come handy for traffic police and railway TTE
774,I think this will kill Paytm
775,this E-rupee after pilot project is it going to become E-Cash OR E-HARD CASH OR IN THE SANKRIT OR IN THE HINDI/MARATHI SOME SAY ROKHA RAKHAM  ... BHARAT MATA KI JAI ...
776,I have not come across any one explaining in English about e currency .not even RBI Who is supposed issue detailed statement on how to use E currency..most lack a daisical way of introducing e currency by the central bank
777,This will boasts to shut down the bank which ja good news. Banks are useless already.
778,Full control on our money 
779,Excellent
780,how is it advantageous over upi?
781,"There should be interoperability between UPI and e-Rupee, otherwise this is pointless to have different QR code for CBDC. There should be only one QR code for both UPI and e-Rupee wallet."
782,Useless for middle class as former RBI governor in one of his interviews told that there would be no interest on our money in this system so disastrous !!! 🔥🔥🔥🔥
783,It's a trap. They will make your money conditional
784,I think it will be helpful to banks directly as there is no need to settle the money in the form of physical currency between the banks. Which saves more time and effort of banks which leads to help in reduction or maintain no transaction fees to the end user. Apart from this everything will be same as UPI usage for the end users.
785,"main point of eRupee is that it works without internet connection, upi requires internet or phone calls."
786,How can i buy e rupee
787,New India 
788,"Just a upgrade and new version of UPI,rbi and user works not has a bank has a middle man nothing new"
789,Anybody got the app link? lmk
790,Life became difficult.for.poor.people.
791,Lol there is no benefit the government is watching you do eveything then
792,Thanx ET to inform us about e-rupee
793,Thankyou sir
794,UPI transaction pr charge nhi lgna chahiye
795,How to start e- rupee account?
796,Thnku sir
797,Doubt cleared
798,Crude oil B
799,App ka naam toh batao e-ruppee ka
800,E-Rupee can't beat UPI. UPI is ultimate.
801,Great analysis
802,Banks should charge for UPI through sms charges. Customers will not feel good if their money is in e₹UPI wallet since they are not getting any interest.
803,E-RUPI is NPCI's initiative  Digital Rupee is Central Bank's
804,If govt. Put tax or charges on UPI then again people shift on cash not on e-rupee. There is a major loss of the govt. if govt. put taxes or charges on UPI.
805,E-Rupee is your financial slavery. ⚠️⚠️⚠️
806,Excellent analysis 👏  Great sir🙏
807,Obviously UPI👍
808,Wow awesome explanation 👏
809,UPI because you can buy Erupee in UPI.
810,I will use cash
811,Thanks a lot sir 🙏
812,so it will remove our dependence on UPI apps ?
813,How will banks survive if E-Rupee picks up?
814,I think RBI is wanting to create a Fiat currency
815,Apka telegram channel ka link kya ha sir ji
816,UPI achha hai isse
817,Always helpful 😊🙏
818,Will the offline safe ?
819,But e ruppy ko maintain karne ka charge rbi ko lagega na
820,E rupee is good 👍 .
821,V good
822,Very elaborative and informative.
823,Sir why we are not comparing intrest given by banks on saving account. Has anyone done any study difference between bank charge UPI transaction (if) - intrest given on saving account. If =0 then e-rupee fails. Also if people will not deposit money in bank than who how bank will lend money.
824,UPI and the digital Rupee both are different things. One is currency and another is a platform to carry out transactions.
825,Jo free dega woh jitega
826,E rupee will win for very small transaction
827,E rupee se jinke pas phonepay Google Play wagera nahi hota or village ke logo ko bhi use karne me asani hogi jinke pas UPI nahi hota
828,Mb hack hogya to smzo zindgi ke lg gaye
829,Ye Idea One nation one bank ke jaisa lg rha hai
830,Agar e rupee pr koi interest rbi nhi dega..to log jyada paise e rupee mr nhi rakhenge
831,Isko leke black money aur corruption free kar payenge ya nahi...  Ye mujhe janna hai...
832,First video h jisne itna clear kar diya e rUPI aur UPI ke bich diffrence. Hat's off to you sir . Thanks for outstanding knowledge sharing with us.
833,Is it possible to keep black money in the form of e-rupee instead of cash?
834,e-Rupee will be a failure
835,Chillhar/ chhutte ka issue bhi aaega kya isme?
836,You are the best economy teacher that I have seen
837,"If gov start to taking charges for UPI tranjuction.... Then it's a fraud to people... Like... pehele addat lagao fir  payse kamao.... Now due to UPI, money printing cost has been reduced.... So gov should never put  UPI into a paid service.."
838,There is no comparison between UPI and e-rupee. both are different..
839,Basically E-ruppee will be monitored directly by RBI . hence there will be no black digital currency. But they have to reduce income tax in E-rupee. Otherwise no any person will be intrested . It is totally transparent. And i am sure that they have some digital currency number so that RBI can monitor digital currency like we have some serial number in CURRENCY NOTES.
840,Why to make them fight  ?
841,Free service
842,UPI
843,"I have a doubt, are digital rupee and normal rupee interchangeable between each other?"
844,"Sir, since this is in launch phase. Things will be subsidised that 1% once fully activated. Lets not judge things negatively.  Later things will be authorised via banks &amp; they will be benefitted too. 1200 crores is not a big deal."
845,I think RBI inviting Cyber frauds in this matter. It will not benefit common people. Everything making digital is more vulnerable to frauds and how the prices of internet data is increasing day by day it will be difficult for common people to afford it. And we all know mobile phones are not safe and they can easily hacked. I think this plan of RBI is useless.
846,Instead of levying charges on UPI charge on cash withdrawal.
847,With UPI govt getting lot of GST no one can hide their transaction
848,Sir without internet nahi bol rahe hai due to duplicate transaction
849,""" CORRUPTION "" mai bahut hraas hoyega . Physical currency dhire dhire shuny honewala hai . Typically it is ""Note bandi"" ."
850,Link UPI with e rupee ..... Get award of Decade invention of all time
851,Best thing black money band ho jayaga tax mein kohi chori nehi hoga mein to jarur use kadunga agad achhe sein available hua to
852,This will stress out pick pocketers and make hacker happy
853,Useless currency
